"","pctilleg","pctkids2par","numilleg","racepctwhite","racepctblack","pctpersdensehouse","pctfam2par","pctvacantboarded","numstreet","pcthouseless3br","malepctdivorce","mixedCommunity","immigrantCommunity","violentcrimesperpopulation"
"44",0.17,0.7,0.02,0.85,0.02,0.19,0.68,0.04,1,0.54,0.57,2,2,0.22
"45",0.06,0.91,0,0.82,0.02,0.06,0.93,0,0,0.1,0.09,1,2,0.17
"46",0.11,0.74,0.01,0.9,0.02,0.09,0.7,0.06,0.02,0.52,0.36,1,2,0.16
"47",0.34,0.68,0.02,0.61,0.45,0.1,0.72,0.37,0,0.33,0.38,2,1,0.2
"48",0.27,0.59,0.01,0.69,0.03,0.28,0.64,0.28,0,0.44,0.4,2,1,0.12
"49",0.09,0.68,0.01,0.95,0.02,0.08,0.62,0.03,0,0.49,0.59,1,1,0.11
"50",0.23,0.6,0.01,0.98,0.01,0.08,0.57,0.17,0,0.6,0.58,1,1,0.12
"51",0.23,0.47,0.03,0.84,0.17,0.08,0.44,0.4,0,0.56,0.73,1,1,0.2
"52",0.32,0.57,0.14,0.56,0.14,0.5,0.59,0.19,0.03,0.51,0.51,2,2,0.68
"53",0.27,0.63,0.02,0.71,0.29,0.09,0.65,0.45,0,0.26,0.38,2,1,0.23
"54",0.05,0.92,0,0.98,0.01,0.02,0.9,0.11,0,0.18,0.2,1,1,0.05
"55",0.12,0.6,0,0.99,0.02,0.1,0.59,0.39,0,0.47,0.55,1,1,0.1
"56",0.22,0.51,0.01,0.8,0.1,0.26,0.57,0.43,0,0.51,0.77,2,1,0.28
"57",0.13,0.65,0.03,0.76,0.05,0.24,0.62,0.05,0.01,0.46,0.57,2,2,0.22
"58",0.14,0.49,0,0.95,0.01,0.16,0.46,0.21,0,0.6,0.78,1,1,0.22
"59",0.28,0.58,0.09,0.58,0.48,0.12,0.58,0.1,0.09,0.44,0.52,2,1,0.55
"60",0.09,0.67,0,0.98,0,0.08,0.66,0,0,0.44,0.43,1,1,0.05
"61",0.03,0.83,0,0.97,0.01,0.06,0.81,0.1,0,0.51,0.27,1,1,0.03
"62",0.24,0.49,0.01,0.8,0.25,0.05,0.55,0.11,0,0.46,0.7,2,1,0.07
"63",0.2,0.65,0.01,0.93,0.01,0.12,0.57,0.14,0,0.59,0.55,1,1,0.07
"64",0.34,0.48,0.02,0.64,0.1,0.42,0.52,0.18,0.09,0.55,0.59,2,1,0.57
"65",0.31,0.47,0.02,0.53,0.19,0.55,0.45,0.23,0,0.71,0.57,2,2,0.37
"66",0.06,0.82,0,0.91,0.01,0.06,0.8,0.1,0,0.53,0.56,1,1,0.14
"67",0.48,0.38,0.06,0.61,0.48,0.16,0.42,0.23,0.03,0.55,0.62,2,1,0.61
"68",0.11,0.82,0,0.86,0.07,0.05,0.81,0.14,0,0.47,0.28,1,2,0.03
"69",0.67,0.4,0.06,0.39,0.23,0.52,0.42,0.39,0,0.67,0.49,2,2,0.5
"70",0.21,0.62,0.01,0.97,0.01,0.06,0.59,0.15,0,0.49,0.52,1,1,0.05
"71",0.04,0.96,0,0.91,0.05,0.02,0.95,0.02,0,0.25,0.16,1,1,0.04
"72",0.09,0.73,0.01,0.88,0.02,0.14,0.69,0.06,0.06,0.4,0.54,2,2,0.21
"73",0.17,0.76,0.01,0.96,0.02,0.06,0.69,0.14,0,0.48,0.2,1,1,0.05
"74",0.04,0.89,0,0.98,0.01,0.03,0.86,0.09,0,0.29,0.32,1,1,0.02
"75",0.27,0.57,0.03,0.85,0.08,0.11,0.56,0.13,0.01,0.58,0.49,2,1,0.14
"76",0.15,0.55,0.01,0.97,0.02,0.05,0.44,0.02,0,0.58,0.36,1,1,0.18
"77",0.31,0.53,0.02,0.72,0.21,0.18,0.53,1,0,0.46,0.61,2,1,0.12
"78",0.32,0.38,0.05,0.22,0.82,0.3,0.36,0.61,0,0.63,0.67,2,1,0.68
"79",0.3,0.44,0.07,0.74,0.04,0.17,0.42,0.63,0.13,0.56,0.69,2,1,0.7
"80",0.25,0.61,0.1,0.73,0.22,0.13,0.56,0.21,0,0.57,0.69,2,1,0.75
"81",0.5,0.46,0.19,0.64,0.27,0.31,0.47,0.24,0.02,0.72,0.33,2,2,0.3
"82",0.21,0.56,0.03,0.81,0.05,0.21,0.51,1,0.14,0.6,0.74,2,1,0.24
"83",0.16,0.57,0,0.65,0.21,0.21,0.65,0.42,0,0.6,0.56,2,1,1
"84",0.04,0.95,0,1,0,0.03,0.96,0.08,0,0.13,0.13,1,1,0
"85",0.27,0.63,0,0.91,0.01,0.11,0.54,0.05,0,0.59,0.15,1,1,0.03
"86",0.04,0.66,0,0.93,0.04,0.09,0.66,0.04,0,0.51,0.51,1,1,0.06
"87",0.06,0.69,0,0.97,0,0.12,0.7,0.01,0,0.46,0.49,1,1,0.08
"88",0.04,0.79,0,0.91,0.02,0.06,0.76,0.01,0,0.83,0.54,1,1,0.1
"89",0.29,0.56,0.01,0.96,0,0.16,0.52,0.1,0,0.56,0.62,1,1,0.27
"90",0.13,0.68,0.01,0.89,0.01,0.2,0.67,0.06,0,0.68,0.51,2,1,0.15
"91",0.16,0.66,0.01,0.79,0.2,0.25,0.66,0.14,0.26,0.74,0.84,2,2,0.63
"92",0.32,0.68,0.01,0.72,0.33,0.14,0.66,0.07,0,0.34,0.29,2,1,0.05
"93",0.11,0.87,0,0.97,0.01,0.03,0.81,0.21,0,0.33,0.33,1,1,0.03
"94",0.03,0.69,0,0.94,0.01,0.1,0.65,0.11,0,0.41,0.48,1,1,0.12
"95",0.12,0.66,0.01,0.84,0.05,0.18,0.62,0.02,0,0.52,0.56,2,2,0.4
"96",0.28,0.62,0.03,0.84,0.08,0.12,0.58,0.16,0.01,0.68,0.34,1,2,0.37
"97",0.16,0.46,0.01,0.82,0.03,0.23,0.41,0.43,0.06,0.67,0.83,1,1,0.45
"98",0.12,0.82,0.01,0.85,0.05,0.14,0.79,0.22,0,0.64,0.09,1,2,0.04
"99",0.07,0.84,0,0.97,0.03,0.04,0.87,0,0,0.22,0.23,1,1,0.09
"100",0.24,0.59,0.05,0.96,0.02,0.07,0.57,0.16,0,0.65,0.56,1,1,0.09
"101",0.25,0.58,0.04,0.56,0.38,0.2,0.59,0.23,0,0.48,0.53,2,1,0.39
"102",0.13,0.72,0,0.9,0.05,0.12,0.72,0,0,0.79,0.41,1,2,0.02
"103",0.23,0.54,0.06,0.82,0.17,0.27,0.54,0.13,0.22,0.78,0.67,2,2,0.34
"104",0.2,0.62,0.07,0.74,0.12,0.23,0.62,0.27,0.05,0.53,0.63,2,1,0.28
"105",0.16,0.74,0,0.96,0.02,0.06,0.68,0,0,0.57,0.43,1,1,0.08
"106",0.56,0.21,0.02,0.46,0.68,0.18,0.22,0.33,0,0.52,0.66,2,1,0.44
"107",0.14,0.61,0.01,0.83,0.04,0.3,0.55,0.03,0,0.69,0.3,2,2,0.24
"108",0.18,0.91,0.01,0.9,0.09,0.03,0.88,0.24,0,0.32,0.26,1,1,0.09
"109",0.15,0.59,0,0.61,0.23,0.36,0.62,0.35,0,0.55,0.44,2,1,0.26
"110",0.35,0.46,0.29,0.62,0.08,0.33,0.45,0.16,0.23,0.71,0.64,2,2,0.4
"111",0.4,0.41,0.04,0.66,0.39,0.22,0.45,0.11,0.03,0.83,0.48,2,2,0.56
"112",0.04,0.85,0,0.97,0.02,0.02,0.85,0.04,0,0.42,0.32,1,1,0.05
"113",0.09,0.86,0,0.96,0.03,0.04,0.86,0.08,0,0.38,0.23,1,1,0.06
"114",0.19,0.59,0.03,0.6,0.05,0.43,0.59,0.14,0,0.64,0.59,2,2,0.2
"115",0.4,0.38,0.01,0.7,0.1,0.27,0.36,0.54,0.05,0.69,0.9,2,2,0.51
"116",0.03,1,0,0.73,0.05,0.07,1,0.02,0,0.28,0.1,1,2,0.04
"117",0.97,0.33,0.2,0,1,1,0.28,0.24,0.22,0.9,0.63,2,2,0.86
"118",0.02,0.87,0,0.94,0.02,0.04,0.87,0,0,0.22,0.14,1,1,0.05
"119",0.1,0.69,0.01,0.93,0.07,0.05,0.66,0.06,0,0.46,0.41,1,1,0.06
"120",0.29,0.59,0.04,0.74,0.09,0.25,0.52,0.51,0.84,0.94,0.76,2,2,0.68
"121",0.17,0.67,0.01,0.9,0.08,0.2,0.66,0.22,0,0.56,0.63,2,2,0.22
"122",0.05,0.85,0,0.76,0.22,0.04,0.86,0.19,0,0.24,0.19,2,1,0.05
"123",0.07,0.89,0,0.98,0.01,0.05,0.86,0,0,0.2,0.15,1,1,0.03
"124",0.16,0.79,0,0.76,0.28,0.04,0.78,0.07,0,0.32,0.31,2,1,0.09
"125",0.14,0.67,0.01,0.99,0.01,0.06,0.62,0.03,0,0.53,0.42,1,1,0.17
"126",0.11,0.73,0,0.96,0.02,0.06,0.73,0.11,0,0.41,0.44,1,1,0.17
"127",0.08,0.77,0.01,0.89,0.11,0.03,0.74,0.07,0,0.48,0.41,1,1,0.17
"128",0.16,0.56,0,0.45,0.12,0.36,0.61,0.05,0.05,0.68,0.38,2,2,0.14
"129",0.37,0.53,0.02,0.31,0.01,1,0.55,0.26,0.06,0.82,0.36,2,2,0.62
"130",0.04,0.73,0,0.98,0.03,0.03,0.7,0.15,0,0.4,0.4,1,1,0.03
"131",0.85,0.2,0.04,0.22,0.98,0.17,0.2,0.31,0,0.46,0.62,2,1,0.23
"132",0.18,0.78,0,0.98,0.01,0.07,0.75,0.14,0,0.46,0.45,1,1,0.15
"133",0.13,0.62,0.01,0.78,0.01,0.32,0.58,0.14,0,0.57,0.55,2,2,0.13
"134",0.14,0.69,0.01,0.72,0.03,0.32,0.79,0.01,0,0.21,0.32,2,2,0.27
"135",0.09,0.78,0.01,0.89,0.03,0.1,0.76,0.03,0,0.57,0.3,1,2,0.08
"136",0.07,0.84,0,0.86,0.03,0.08,0.83,0,0,0.5,0.24,1,2,0.06
"137",0.03,0.9,0,0.96,0.02,0.02,0.89,0.05,0,0.18,0.14,1,1,0.09
"138",0.19,0.53,0.01,0.75,0.04,0.27,0.51,0.34,0,0.67,0.76,2,2,0.16
"139",0.31,0.52,0.01,0.67,0.41,0.1,0.52,0.13,0,0.57,0.5,2,1,0.38
"140",0.03,0.92,0,0.88,0.02,0.01,0.92,0.09,0,0.08,0.26,1,1,0.02
"141",0.06,0.82,0,0.76,0.19,0.11,0.8,0.01,0,0.36,0.26,2,1,0.08
"142",0.08,0.81,0,0.96,0.02,0.06,0.82,0.34,0,0.46,0.42,1,1,0.09
"143",0.77,0.27,0.06,0.34,0.82,0.29,0.34,0.63,0,0.47,0.63,2,1,0.3
"144",0.05,0.93,0,0.99,0.01,0.06,0.93,0.05,0,0.31,0.25,1,1,0.05
"145",0.21,0.65,0.02,0.75,0.03,0.26,0.6,0.1,0,0.49,0.54,2,2,0.17
"146",0.46,0.4,0.1,0.71,0.05,0.3,0.39,0.24,0.11,0.64,0.45,2,2,0.53
"147",0.81,0.28,0.37,0.3,0.86,0.24,0.3,0.99,0.02,0.58,0.54,2,1,1
"148",0.31,0.58,0.01,0.97,0.03,0.04,0.54,0.12,0,0.37,0.44,1,1,0.05
"149",0.44,0.28,0.02,0.51,0.57,0.31,0.37,0.22,0,0.5,0.69,2,1,0.63
"150",0.37,0.44,0.02,0.63,0.41,0.32,0.47,0.17,0.01,0.54,0.63,2,1,1
"151",0.15,0.61,0.03,0.68,0.09,0.3,0.63,0.13,0,0.58,0.53,2,1,0.21
"152",0.53,0.36,0.09,0.35,0.75,0.14,0.39,0.35,0.07,0.47,0.59,2,1,0.86
"153",0.05,0.79,0,0.99,0.01,0.03,0.76,0.08,0,0.36,0.36,1,1,0.03
"154",0.08,0.85,0,0.99,0,0.04,0.84,0.15,0,0.38,0.22,1,1,0.26
"155",0.46,0.18,0.01,0.39,0.75,0.26,0.19,0.23,0.08,0.52,0.83,2,1,0.87
"156",0.97,0.34,0.12,0.16,0.4,0.78,0.34,0.17,0.03,0.78,0.45,2,2,0.44
"157",0.07,0.88,0,0.89,0.01,0.05,0.84,0.08,0,0.23,0.33,1,1,0.03
"158",0.77,0.13,0.03,0.18,1,0.23,0.13,0.37,0,0.51,0.62,2,1,0.73
"159",0.25,0.47,0.05,0.84,0.17,0.1,0.45,0.08,0.08,0.79,0.68,1,1,0.48
"160",0.09,0.81,0,0.88,0.03,0.09,0.78,0.41,0,0.27,0.37,1,1,0.06
"161",0.1,0.63,0,0.88,0.04,0.12,0.59,0.03,0,0.59,0.24,1,2,0.07
"162",0.03,0.75,0,0.96,0.02,0.04,0.73,0.03,0.08,0.59,0.46,1,1,0.03
"163",0.09,0.79,0.01,0.97,0.01,0.04,0.77,0.19,0,0.35,0.21,1,1,0.17
"164",0.09,0.77,0.01,0.97,0.02,0.05,0.74,0.03,0,0.31,0.2,1,1,0.11
"165",0.03,0.92,0,0.91,0.07,0.01,0.91,0.04,0,0.41,0.2,1,1,0.05
"166",0.17,0.7,0.01,0.72,0.07,0.2,0.75,0.09,0,0.35,0.49,2,2,0.25
"167",0.15,0.75,0,0.81,0.08,0.08,0.7,0.05,0,0.57,0.05,1,2,0.05
"168",0.11,0.61,0,0.89,0.05,0.18,0.64,0.15,0,0.54,0.52,1,1,0.15
"169",0.47,0.31,0.02,0.45,0.69,0.12,0.31,0.19,0,0.57,0.59,2,1,0.46
"170",0.19,0.57,0.02,0.94,0.06,0.07,0.53,0.14,0,0.53,0.66,1,1,0.45
"171",0.2,0.49,0.03,0.89,0.13,0.05,0.47,0.31,0.01,0.59,0.58,1,1,0.23
"172",0.11,0.81,0,0.96,0.03,0.06,0.81,0.07,0,0.27,0.37,1,1,0.08
"173",0.12,0.63,0,0.97,0.01,0.08,0.65,0.06,0,0.44,0.54,1,1,0.08
"174",0.28,0.49,0.02,0.61,0.01,0.92,0.52,0.24,0,0.58,0.36,2,2,0.2
"175",0.51,0.38,0.09,0.74,0.16,0.2,0.36,0.36,0.38,0.7,0.53,2,2,0.73
"176",0.09,0.77,0.02,0.8,0.13,0.1,0.79,0.16,0,0.45,0.37,1,2,0.17
"177",0.04,0.89,0,0.95,0.01,0.03,0.86,0,0,0.29,0.27,1,1,0.07
"178",0.9,0.23,0.41,0.21,0.58,0.52,0.25,0.72,0.61,0.77,0.47,2,2,0.83
"179",0.14,0.54,0.01,0.93,0.01,0.1,0.5,0.18,0,0.52,0.66,1,1,0.1
"180",0.08,0.64,0,0.78,0.19,0.07,0.6,0.1,0,0.36,0.54,2,1,0.25
"181",0.37,0.41,0.03,0.69,0.37,0.1,0.39,0.06,0,0.55,0.71,2,1,0.12
"182",0.28,0.53,0.01,0.9,0.02,0.24,0.46,0.18,0,0.52,0.51,2,1,0.25
"183",0.26,0.54,0.01,0.52,0.33,0.32,0.58,0.3,0,0.6,0.43,2,1,0.3
"184",0.03,0.96,0,0.88,0.03,0.02,0.96,0.24,0,0.06,0.1,1,1,0.02
"185",0.17,0.67,0.02,0.91,0.08,0.05,0.62,0.1,0,0.53,0.43,1,1,0.19
"186",0.48,0.47,0.17,0.45,0.66,0.11,0.46,0.5,0,0.55,0.53,2,1,0.36
"187",0.13,0.81,0.02,0.9,0.07,0.17,0.77,0.04,0,0.45,0.34,1,2,0.12
"188",0.03,0.87,0,0.96,0.01,0.06,0.85,0.08,0,0.51,0.38,1,1,0.01
"189",0.08,0.85,0,0.89,0.11,0.04,0.82,0.03,0,0.24,0.23,1,1,0.06
"190",0.06,0.82,0,0.98,0.01,0.06,0.82,0.15,0,0.18,0.35,1,1,0.1
"191",0.34,0.54,0.01,0.66,0.12,0.41,0.59,0.38,0.01,0.54,0.44,2,2,0.1
"192",0.18,0.7,0.01,0.93,0.04,0.08,0.68,0.1,0,0.57,0.43,1,2,0.21
"193",0.21,0.61,0,0.84,0.09,0.15,0.57,0.07,0,0.62,0.05,1,2,0.1
"194",0.07,0.88,0,0.89,0.03,0.18,0.89,0.09,0,0,0.37,1,1,0.07
"195",0.02,0.94,0,0.97,0,0.16,0.91,0.4,0,0.13,0.11,1,1,0.02
"196",0.07,0.88,0,0.99,0.01,0.04,0.88,0.34,0,0.29,0.21,1,1,0.03
"197",0.2,0.75,0,0.98,0.01,0.05,0.68,0.43,0,0.52,0.38,1,1,0.01
"198",0.74,0.23,0.24,0.19,1,0.22,0.27,1,0,0.58,0.68,2,1,0.41
"199",0.18,0.52,0.03,0.89,0.02,0.2,0.48,0.18,0.65,0.53,0.72,1,1,0.26
"200",0.55,0.27,0.02,0.52,0.58,0.15,0.27,0.21,0,0.62,0.7,2,1,0.42
"201",0.31,0.65,0.01,0.7,0.28,0.34,0.65,0.15,0,0.52,0.55,2,2,0.18
"202",0.01,0.82,0,0.93,0.03,0.05,0.8,0.07,0.02,0.49,0.33,1,1,0.13
"203",0.17,0.59,0.01,0.89,0,0.24,0.61,0.73,0,0.53,0.68,2,1,0.29
"204",0.33,0.58,0.01,0.33,0.05,1,0.68,0.11,0,0.65,0.33,2,2,0.68
"205",0.18,0.75,0,0.97,0,0.06,0.74,0.05,0,0.43,0.44,1,1,0.05
"206",0.15,0.59,0.03,0.9,0.02,0.12,0.54,0.08,0.19,0.57,0.57,1,2,0.16
"207",0.11,0.73,0.03,0.59,0.03,0.29,0.72,0.12,0.04,0.58,0.5,2,2,0.26
"208",0.08,0.71,0,0.95,0.03,0.05,0.69,0.13,0,0.39,0.45,1,1,0.19
"209",0.1,0.83,0.01,0.98,0.01,0.03,0.8,0.09,0,0.44,0.2,1,1,0.03
"210",0.14,0.75,0,0.74,0.24,0.09,0.73,0,0,0.58,0.11,2,2,0.15
"211",0.6,0.49,0.02,0.38,0.62,0.27,0.42,0.13,0.02,0.63,0.67,2,2,0.29
"212",0.03,0.81,0,0.99,0.01,0.03,0.78,0.02,0,0.36,0.33,1,1,0.01
"213",0.51,0.43,0.02,0.75,0.25,0.29,0.4,0.16,0,0.9,0.97,2,2,0.66
"214",0.11,0.84,0,0.84,0.06,0.09,0.82,0.23,0,0.49,0.24,1,2,0.05
"215",0.09,0.81,0,0.9,0.05,0.24,0.83,0.14,0,0.25,0.36,2,1,0.27
"216",0.23,0.59,0.03,0.84,0.01,0.4,0.57,0.12,0.1,0.59,0.65,2,2,0.49
"217",0.09,0.72,0,0.77,0.11,0.27,0.7,0.24,0,0.36,0.48,2,1,0.08
"218",0.04,0.89,0,0.98,0,0.27,0.87,0.42,0,0.3,0.21,1,1,0.04
"219",0.53,0.32,0.07,0.43,0.71,0.12,0.34,0.5,0,0.56,0.65,2,1,0.16
"220",0.11,0.59,0.01,0.98,0.01,0.04,0.61,0.04,0,0.55,0.4,1,1,0.06
"221",0.13,0.72,0,0.99,0,0.05,0.68,0.06,0,0.45,0.38,1,1,0.04
"222",0.59,0.43,0.02,0.59,0.41,0.2,0.42,0.12,0,0.73,0.53,2,2,0.31
"223",0.97,0.2,0.11,0.56,0.24,0.24,0.23,0.42,0,0.55,0.68,2,1,0.36
"224",0.04,0.82,0,0.98,0,0.03,0.85,0.09,0,0.26,0.29,1,1,0.05
"225",0.13,0.72,0.01,0.97,0.01,0.06,0.66,0.11,0,0.47,0.41,1,1,0.16
"226",0.5,0.39,0.01,0.63,0.46,0.1,0.44,0.18,0,0.48,0.56,2,1,0.1
"227",0.4,0.4,0.02,0.63,0.43,0.17,0.43,0.85,0,0.55,0.64,2,1,0.74
"228",0.29,0.54,0.04,0.84,0.07,0.13,0.51,0.27,0,0.64,0.51,1,2,0.19
"229",0.87,0.22,0.02,0.35,0.81,0.22,0.18,0.28,0,0.54,0.41,2,1,0.63
"230",0.73,0.19,0.02,0.39,0.76,0.15,0.22,0.91,0,0.65,0.73,2,1,0.42
"231",0.16,0.58,0,0.88,0.09,0.04,0.54,0.3,0,0.58,0.65,1,1,0.04
"232",0.09,0.76,0,0.98,0.02,0.04,0.76,0.31,0,0.37,0.36,1,1,0.06
"233",0.13,0.55,0.01,0.88,0,0.19,0.52,0.26,0.01,0.6,0.61,2,1,0.2
"234",1,0.05,0.3,0.29,0.7,0.22,0.05,0.78,0.04,0.76,0.54,2,2,0.88
"235",0.07,0.79,0,0.97,0.01,0.06,0.79,0.27,0,0.48,0.32,1,1,0.12
"236",0.26,0.55,0.01,0.5,0.35,0.4,0.61,0.2,0,0.48,0.47,2,1,0.11
"237",0.14,0.74,0.01,0.29,0.37,0.55,0.73,0.04,0,0.62,0.33,2,2,0.27
"238",0.09,0.87,0,0.96,0.03,0.07,0.88,0.08,0,0.22,0.24,1,1,0.02
"239",0.19,0.68,0.01,0.95,0.02,0.06,0.64,0.07,0,0.49,0.34,1,1,0.37
"240",0.24,0.49,0.02,0.89,0.03,0.19,0.43,0.21,0.01,0.67,0.83,1,1,0.18
"241",0.08,0.9,0,0.93,0.02,0.02,0.87,0.06,0,0.27,0.16,1,1,0.04
"242",0.31,0.43,0.02,0.92,0.03,0.08,0.39,0.29,0,0.52,0.65,1,1,0.12
"243",0.3,0.6,0.05,0.62,0.03,0.41,0.6,0.23,0.02,0.48,0.49,2,2,0.32
"244",0.75,0.43,0.17,0.42,0.02,1,0.51,0.34,0.35,0.84,0.35,2,2,0.54
"245",0.21,0.54,0.01,0.78,0.27,0.1,0.54,0.19,0,0.35,0.56,2,1,0.18
"246",0.12,0.61,0.01,0.86,0.01,0.26,0.59,0.11,0,0.55,0.57,2,2,0.25
"247",0.42,0.49,0.05,0.54,0.12,0.65,0.47,0.12,0,0.81,0.76,2,2,0.7
"248",0.14,0.48,0,0.98,0.01,0.1,0.44,0.06,0.02,0.95,0.7,1,1,0.22
"249",0.91,0.18,0.09,0.28,0.89,0.18,0.18,0.41,0.01,0.57,0.7,2,1,1
"250",0.2,0.61,0.02,0.91,0.01,0.14,0.52,0.08,0,0.63,0.4,1,2,0.03
"251",0.55,0.48,0.42,0.48,0.62,0.15,0.48,0.24,0.24,0.53,0.59,2,1,0.74
"252",0.39,0.37,0.06,0.67,0.39,0.15,0.4,0.13,0.07,0.68,0.64,2,1,0.63
"253",0.02,0.94,0,0.96,0.01,0.02,0.89,0,0,0.32,0.21,1,1,0.05
"254",0.34,0.59,0.01,0.71,0.23,0.19,0.59,0.27,0.09,0.63,0.48,2,2,0.09
"255",0.04,0.94,0,0.98,0.01,0.02,0.93,0.1,0,0.19,0.16,1,1,0.04
"256",0.7,0.36,0.08,0.43,0.67,0.27,0.39,0.39,0.02,0.68,0.72,2,1,0.93
"257",0.3,0.42,0.01,0.86,0.16,0.12,0.41,0.32,0,0.61,0.75,1,1,0.19
"258",0.08,0.86,0,0.95,0.03,0.07,0.83,0,0,0.4,0.35,1,1,0.06
"259",0.17,0.55,0.01,0.94,0.07,0.04,0.51,0.19,0,0.57,0.57,1,1,0.03
"260",0.17,0.67,0.01,0.95,0.05,0.55,0.74,0.85,0,0.5,0.35,2,2,0.1
"261",0.17,0.62,0.01,0.96,0.03,0.1,0.57,0.3,0,0.56,0.62,1,1,0.53
"262",0.38,0.29,0.03,0.64,0.44,0.17,0.32,0.13,0.01,0.73,0.63,2,1,0.59
"263",1,0.05,0.43,0.13,1,0.14,0.04,0.83,0.01,0.64,0.81,2,1,0.67
